"rank","country","unem","diff","province"
1,"Bolivia",2.6,0.1,"Tibet"
2,"Nepal",2.7,0.2,"Tibet"
3,"Guatemala",2.8,0.3,"Tibet"
4,"Singapore",2.8,0.3,"Tibet"
5,"Bhutan",2.1,0.4,"Tibet"
