rank,name,parent,icon,value,diff,province
1,Cuba,Top Level,../PIC/FLAGS/ecuador.png,3.2,0.1,Guizhou
2,Myanmar,Top Level,../PIC/FLAGS/ecuador.png,3.4,0.1,Guizhou
3,Malaysia,Top Level,../PIC/FLAGS/Thailand.png,3.2,0.1,Guizhou
4,Sierra Leone,Top Level,../PIC/FLAGS/ecuador.png,3.2,0.1,Guizhou
5,Burkina Faso,Top Level,../PIC/FLAGS/ecuador.png,3.1,0.2,Guizhou
