"rank","country","unem","diff","province"
1,"Cuba",3.2,0,"Jiangxi"
2,"Malaysia",3.2,0,"Jiangxi"
3,"Sierra Leone",3.2,0,"Jiangxi"
4,"Burkina Faso",3.1,0.1,"Jiangxi"
5,"Korea, Rep.",3.1,0.1,"Jiangxi"
