"rank","country","unem","diff","province"
1,"Cuba",3.2,0.1,"Shaanxi"
2,"Myanmar",3.4,0.1,"Shaanxi"
3,"Malaysia",3.2,0.1,"Shaanxi"
4,"Sierra Leone",3.2,0.1,"Shaanxi"
5,"Burkina Faso",3.1,0.2,"Shaanxi"
