"rank","country","unem","diff","province"
1,"Ecuador",4.2,0,"Shanghai"
2,"Honduras",4.2,0,"Shanghai"
3,"Sri Lanka",4.2,0,"Shanghai"
4,"Bangladesh",4.3,0.1,"Shanghai"
5,"Panama",4.1,0.1,"Shanghai"
