"rank","country","unem","diff","province"
1,"Myanmar",3.4,0,"Anhui"
2,"Norway",3.5,0.1,"Anhui"
3,"Tanzania",3.5,0.1,"Anhui"
4,"Cuba",3.2,0.2,"Anhui"
5,"India",3.6,0.2,"Anhui"
