rank,name,value,parent,icon,diff,province
1,Norway,3.5,Top Level,../pic/flags/ecuador.png,0,Fujian
2,Tanzania,3.5,Top Level,../pic/flags/ecuador.png,0,Fujian
3,India,3.6,Top Level,../pic/flags/Thailand.png,0.1,Fujian
4,Madagascar,3.6,Top Level,../pic/flags/ecuador.png,0.1,Fujian
5,Myanmar,3.4,Top Level,../pic/flags/ecuador.png,0.1,Fujian
