"rank","country","unem","diff","province"
1,"Switzerland",4.4,0,"Heilongjiang"
2,"Timor-Leste",4.4,0,"Heilongjiang"
3,"Bangladesh",4.3,0.1,"Heilongjiang"
4,"China",4.6,0.2,"Heilongjiang"
5,"Ecuador",4.2,0.2,"Heilongjiang"
