rank,name,parent,icon,value,diff,province
1,Liberia,Top Level,../PIC/FLAGS/ecuador.png,3.7,0,Inner Mongolia
2,United Arab Emirates,Top Level,../PIC/FLAGS/ecuador.png,3.8,0.1,Inner Mongolia
3,Brunei Darussalam,Top Level,../PIC/FLAGS/Thailand.png,3.8,0.1,Inner Mongolia
4,India,Top Level,../PIC/FLAGS/ecuador.png,3.6,0.1,Inner Mongolia
5,Madagascar,Top Level,../PIC/FLAGS/ecuador.png,3.6,0.1,Inner Mongolia
