"rank","country","unem","diff","province"
1,"Burkina Faso",3.1,0.1,"Jiangsu"
2,"Korea, Rep.",3.1,0.1,"Jiangsu"
3,"Kuwait",3.1,0.1,"Jiangsu"
4,"Cuba",3.2,0.2,"Jiangsu"
5,"Guatemala",2.8,0.2,"Jiangsu"
