"rank","country","unem","diff","province"
1,"Myanmar",3.4,0,"Xinjiang"
2,"Norway",3.5,0.1,"Xinjiang"
3,"Tanzania",3.5,0.1,"Xinjiang"
4,"Cuba",3.2,0.2,"Xinjiang"
5,"India",3.6,0.2,"Xinjiang"
