"rank","country","unem","diff","province"
1,"Liberia",3.7,0,"Hebei"
2,"United Arab Emirates",3.8,0.1,"Hebei"
3,"Brunei Darussalam",3.8,0.1,"Hebei"
4,"India",3.6,0.1,"Hebei"
5,"Madagascar",3.6,0.1,"Hebei"
