"rank","country","unem","diff","province"
1,"Burkina Faso",3.1,0.1,"Zhejiang"
2,"Korea, Rep.",3.1,0.1,"Zhejiang"
3,"Kuwait",3.1,0.1,"Zhejiang"
4,"Cuba",3.2,0.2,"Zhejiang"
5,"Guatemala",2.8,0.2,"Zhejiang"
