"rank","country","unem","diff","province"
1,"India",3.6,0,"Tianjin"
2,"Madagascar",3.6,0,"Tianjin"
3,"Liberia",3.7,0.1,"Tianjin"
4,"Norway",3.5,0.1,"Tianjin"
5,"Tanzania",3.5,0.1,"Tianjin"
