"rank","country","unem","diff","province"
1,"Burkina Faso",3.1,0,"Shanxi"
2,"Korea, Rep.",3.1,0,"Shanxi"
3,"Kuwait",3.1,0,"Shanxi"
4,"Cuba",3.2,0.1,"Shanxi"
5,"Malaysia",3.2,0.1,"Shanxi"
