"rank","country","unem","diff","province"
1,"Panama",4.1,0,"Sichuan"
2,"Cote d'Ivoire",4,0.1,"Sichuan"
3,"Cameroon",4,0.1,"Sichuan"
4,"Ecuador",4.2,0.1,"Sichuan"
5,"Honduras",4.2,0.1,"Sichuan"
