"rank","country","unem","diff","province"
1,"Cote d'Ivoire",4,0,"Yunnan"
2,"Cameroon",4,0,"Yunnan"
3,"Japan",4,0,"Yunnan"
4,"Panama",4.1,0.1,"Yunnan"
5,"Peru",3.9,0.1,"Yunnan"
