"rank","country","gdp_pc","diff","province"
1,"Dominican Republic",6147,127,"Henan"
2,"Serbia",6153,133,"Henan"
3,"Ecuador",6322,302,"Henan"
4,"Iraq",6334,314,"Henan"
5,"South Africa",6478,458,"Henan"
