"rank","country","gdp_pc","diff","province"
1,"South Africa",6478,38,"Hebei"
2,"Iraq",6334,106,"Hebei"
3,"Peru",6551,111,"Hebei"
4,"Ecuador",6322,118,"Hebei"
5,"Libya",6570,130,"Hebei"
