"rank","country","gdp_pc","diff","province"
1,"Thailand",5519,191,"Anhui"
2,"Algeria",5498,212,"Anhui"
3,"Macedonia, FYR",5456,254,"Anhui"
4,"Angola",5424,286,"Anhui"
5,"Jordan",5423,287,"Anhui"
