"rank","country","gdp_pc","diff","province"
1,"Romania",9997,117,"Guangdong"
2,"Mauritius",10006,126,"Guangdong"
3,"Lebanon",10058,178,"Guangdong"
4,"Gabon",10208,328,"Guangdong"
5,"Mexico",10230,350,"Guangdong"
