"rank","country","gdp_pc","diff","province"
1,"Guyana",4226,134,"Gansu"
2,"Fiji",4546,186,"Gansu"
3,"Samoa",4173,187,"Gansu"
4,"Mongolia",4129,231,"Gansu"
5,"El Salvador",4129,231,"Gansu"
