"rank","country","gdp_pc","diff","province"
1,"Grenada",8296,54,"Chongqing"
2,"Maldives",8484,134,"Chongqing"
3,"Belarus",8040,310,"Chongqing"
4,"Colombia",7904,446,"Chongqing"
5,"Azerbaijan",7884,466,"Chongqing"
