"rank","country","gdp_pc","diff","province"
1,"Slovak Republic",18417,387,"Tianjin"
2,"Equatorial Guinea",17430,600,"Tianjin"
3,"Uruguay",16807,1223,"Tianjin"
4,"Oman",19310,1280,"Tianjin"
5,"Venezuela, RB",16615,1415,"Tianjin"
