"rank","country","gdp_pc","diff","province"
1,"Dominican Republic",6147,207,"Sichuan"
2,"Serbia",6153,213,"Sichuan"
3,"Ecuador",6322,382,"Sichuan"
4,"Iraq",6334,394,"Sichuan"
5,"Thailand",5519,421,"Sichuan"
