"rank","country","gdp_pc","diff","province"
1,"Grenada",8296,26,"Jilin"
2,"Maldives",8484,214,"Jilin"
3,"Belarus",8040,230,"Jilin"
4,"Colombia",7904,366,"Jilin"
5,"Azerbaijan",7884,386,"Jilin"
