"rank","country","gdp_pc","diff","province"
1,"Costa Rica",10415,25,"Fujian"
2,"Turkey",10530,90,"Fujian"
3,"Mexico",10230,210,"Fujian"
4,"Gabon",10208,232,"Fujian"
5,"Lebanon",10058,382,"Fujian"
