"rank","country","gdp_pc","diff","province"
1,"Algeria",5498,18,"Guangxi"
2,"Macedonia, FYR",5456,24,"Guangxi"
3,"Thailand",5519,39,"Guangxi"
4,"Angola",5424,56,"Guangxi"
5,"Jordan",5423,57,"Guangxi"
