"rank","country","gdp_pc","diff","province"
1,"Belarus",8040,10,"Hubei"
2,"Colombia",7904,126,"Hubei"
3,"Azerbaijan",7884,146,"Hubei"
4,"Grenada",8296,266,"Hubei"
5,"Bulgaria",7713,317,"Hubei"
