"rank","country","gdp_pc","diff","province"
1,"Thailand",5519,61,"Jiangxi"
2,"Algeria",5498,82,"Jiangxi"
3,"Macedonia, FYR",5456,124,"Jiangxi"
4,"Angola",5424,156,"Jiangxi"
5,"Jordan",5423,157,"Jiangxi"
