"rank","country","gdp_pc","diff","province"
1,"Iraq",6334,16,"Xinjiang"
2,"Ecuador",6322,28,"Xinjiang"
3,"South Africa",6478,128,"Xinjiang"
4,"Serbia",6153,197,"Xinjiang"
5,"Peru",6551,201,"Xinjiang"
