"rank","country","gdp_pc","diff","province"
1,"Fiji",4546,126,"Guizhou"
2,"Guyana",4226,194,"Guizhou"
3,"Albania",4619,199,"Guizhou"
4,"Samoa",4173,247,"Guizhou"
5,"Mongolia",4129,291,"Guizhou"
