"rank","country","gdp_pc","diff","province"
1,"Iraq",6334,6,"Hainan"
2,"Ecuador",6322,18,"Hainan"
3,"South Africa",6478,138,"Hainan"
4,"Serbia",6153,187,"Hainan"
5,"Dominican Republic",6147,193,"Hainan"
