"rank","country","gdp_pc","diff","province"
1,"St. Vincent and the Grenadines",6663,23,"Hunan"
2,"Libya",6570,70,"Hunan"
3,"Peru",6551,89,"Hunan"
4,"South Africa",6478,162,"Hunan"
5,"Iraq",6334,306,"Hunan"
