"rank","country","gdp_pc","diff","province"
1,"Turkey",10530,170,"Liaoning"
2,"Malaysia",10933,233,"Liaoning"
3,"Costa Rica",10415,285,"Liaoning"
4,"Mexico",10230,470,"Liaoning"
5,"Gabon",10208,492,"Liaoning"
