"rank","country","gdp_pc","diff","province"
1,"China",7594,46,"Shaanxi"
2,"Bulgaria",7713,73,"Shaanxi"
3,"St. Lucia",7435,205,"Shaanxi"
4,"Dominica",7434,206,"Shaanxi"
5,"Azerbaijan",7884,244,"Shaanxi"
