"rank","country","gdp_pc","diff","province"
1,"Thailand",5519,191,"Shanxi"
2,"Algeria",5498,212,"Shanxi"
3,"Macedonia, FYR",5456,254,"Shanxi"
4,"Angola",5424,286,"Shanxi"
5,"Jordan",5423,287,"Shanxi"
