"rank","country","gdp_pc","diff","province"
1,"St. Vincent and the Grenadines",6663,167,"Ningxia"
2,"Libya",6570,260,"Ningxia"
3,"Peru",6551,279,"Ningxia"
4,"Botswana",7123,293,"Ningxia"
5,"South Africa",6478,352,"Ningxia"
