"rank","country","gdp_pc","diff","province"
1,"Romania",9997,7,"Shandong"
2,"Mauritius",10006,16,"Shandong"
3,"Lebanon",10058,68,"Shandong"
4,"Gabon",10208,218,"Shandong"
5,"Mexico",10230,240,"Shandong"
