"rank","country","gdp_pc","diff","province"
1,"Paraguay",4729,31,"Tibet"
2,"Bosnia and Herzegovina",4805,45,"Tibet"
3,"Albania",4619,141,"Tibet"
4,"Fiji",4546,214,"Tibet"
5,"Guyana",4226,534,"Tibet"
