"rank","country","gdp_pc","diff","province"
1,"Fiji",4546,106,"Yunnan"
2,"Albania",4619,179,"Yunnan"
3,"Guyana",4226,214,"Yunnan"
4,"Samoa",4173,267,"Yunnan"
5,"Paraguay",4729,289,"Yunnan"
