"rank","country","gdp_pc","diff","province"
1,"Iraq",6334,36,"Heilongjiang"
2,"Ecuador",6322,48,"Heilongjiang"
3,"South Africa",6478,108,"Heilongjiang"
4,"Peru",6551,181,"Heilongjiang"
5,"Libya",6570,200,"Heilongjiang"
