"x"
191
212
254
286
287
251
267
428
443
835
54
134
310
446
466
25
90
210
232
382
134
186
187
231
231
117
126
178
328
350
18
24
39
56
57
126
194
199
247
291
6
18
138
187
193
38
106
111
118
130
36
48
108
181
200
127
133
302
314
458
10
126
146
266
317
23
70
89
162
306
190
259
305
586
757
347
424
591
743
802
61
82
124
156
157
26
214
230
366
386
170
233
285
470
492
167
260
279
293
352
26
38
118
191
207
46
73
205
206
244
7
16
68
218
240
177
353
369
462
567
191
212
254
286
287
207
213
382
394
421
387
600
1223
1280
1415
31
45
141
214
534
16
28
128
197
201
106
179
214
267
289
45
450
497
519
846
191
212
254
286
287
251
267
428
443
835
54
134
310
446
466
25
90
210
232
382
134
186
187
231
231
117
126
178
328
350
18
24
39
56
57
126
194
199
247
291
6
18
138
187
193
38
106
111
118
130
36
48
108
181
200
127
133
302
314
458
10
126
146
266
317
23
70
89
162
306
190
259
305
586
757
347
424
591
743
802
61
82
124
156
157
26
214
230
366
386
170
233
285
470
492
167
260
279
293
352
26
38
118
191
207
46
73
205
206
244
7
16
68
218
240
177
353
369
462
567
191
212
254
286
287
207
213
382
394
421
387
600
1223
1280
1415
31
45
141
214
534
16
28
128
197
201
106
179
214
267
289
45
450
497
519
846
