Province,Count
Anhui,3.89
Beijing,1.20
Chongqing,3.50
Fujian,3.38
Gansu,2.31
Guangdong,2.55
Guangxi,3.74
Guizhou,3.89
Hainan,2.25
Hebei,3.59
Heilongjiang,4.59
Henan,3.58
Hubei,3.72
Hunan,4.12
Inner Mongol,4.04
Jiangsu,3.01
Jiangxi,3.27
Jilin,3.57
Liaoning,3.55
Ningxia,4.15
Qinghai,3.26
Shaanxi,3.45
Shandong,3.35
Shanghai,4.21
Shanxi,3.40
Sichuan,4.15
Tianjin,3.57
Xizang,3.29
Xinjiang,3.48
Yunnan,3.88
Zhejiang,2.99
